brand,model,ram_gb,storage_gb,condition,battery_health,age_years,original_price,resale_price
Infinix,Note 40 5G,8,128,Like New,72,2,16999,8812
Motorola,Motorola G64 5G,6,128,Poor,69,2,13999,3477
Vivo,Vivo Y200 5G,8,128,Poor,78,3,21999,5405
Samsung,Galaxy A55 5G,8,256,Like New,75,2,39999,21599
Motorola,Motorola G14,4,128,Fair,87,3,8499,3105
Motorola,Motorola G14,4,128,Fair,64,1,8499,2937
Infinix,Zero 30 5G,8,128,Fair,94,1,17999,9136
Samsung,Galaxy A14 5G,6,128,Fair,69,3,13499,3912
Vivo,Vivo X100 Pro 5G,16,512,Poor,59,2,89999,19115
Apple,iPhone 12 Mini,4,64,Poor,94,3,42999,12732
iQOO,iQOO Neo 9 Pro,8,128,Good,96,4,35999,15551
Realme,Realme C51,4,64,Like New,61,3,7999,3074
OnePlus,OnePlus 12R,8,128,Poor,80,1,39999,12959
Apple,iPhone 15 Pro (512GB),8,512,Good,58,4,149900,39123
Motorola,Motorola Razr 40 Ultra,8,256,Good,56,4,79999,20159
Apple,iPhone 12 (128GB),4,128,Poor,71,2,54999,14057
Realme,Realme Narzo 50A Prime,4,64,Poor,99,2,8999,3207
Vivo,Vivo X100 Pro 5G,16,512,Poor,72,4,89999,17495
Motorola,Motorola G24 Power,4,128,Good,63,1,8999,3826
Vivo,Vivo Y200 5G,8,128,Poor,69,4,21999,4098
Motorola,Motorola Razr 40 Ultra,8,256,Fair,54,1,79999,23327
Vivo,Vivo X100 Pro 5G,16,512,Like New,52,1,89999,37907
Infinix,Smart 8 Plus,4,128,Poor,64,2,7999,1842
Oppo,OPPO A17,4,64,Poor,100,1,9999,4049
Samsung,Galaxy M13,4,64,Poor,58,3,9499,1735
Infinix,Hot 20 5G,4,64,Poor,89,4,11499,2763
Samsung,Galaxy A05s,6,128,Poor,83,3,11999,3137
Apple,iPhone 15,6,128,Good,53,2,79900,25408
Motorola,Motorola G73 5G,8,128,Like New,100,3,16999,10709
Apple,iPhone 14,6,128,Poor,74,3,69999,16316
Motorola,Motorola G73 5G,8,128,Poor,85,3,16999,4551
Motorola,Motorola Edge 50 Fusion,8,128,Good,55,4,22999,5692
Vivo,Vivo V29 5G,8,128,Like New,87,4,31999,15033
OnePlus,OnePlus 11R 5G,8,128,Poor,96,2,37999,13132
Oppo,OPPO Reno 10 5G,8,256,Good,89,2,32999,17621
Vivo,Vivo Y17s,4,128,Like New,57,3,10499,3770
Infinix,Note 40 5G,8,128,Poor,68,4,16999,3121
Realme,Realme Narzo N55,6,128,Good,93,3,10999,5370
Apple,iPhone 12 Mini,4,64,Fair,56,2,42999,11558
Motorola,Motorola G73 5G,8,128,Fair,93,2,16999,7588
Infinix,Note 11S,6,128,Poor,61,2,10999,2415
Samsung,Galaxy Z Fold 5,12,256,Fair,71,3,154999,46220
iQOO,iQOO Z9 5G,8,128,Like New,91,1,19999,14741
Realme,Realme C51,4,64,Fair,66,4,7999,1900
Vivo,Vivo Y18e,4,64,Like New,53,2,7999,3052
Apple,iPhone 15,6,128,Poor,69,3,79900,17366
Infinix,GT 20 Pro,8,256,Good,83,3,24999,10893
OnePlus,OnePlus 12R,8,128,Good,57,1,39999,15389
Realme,Realme Narzo 60 Pro 5G,12,256,Poor,61,3,23999,4611
Apple,iPhone 14 Pro Max,6,256,Like New,68,2,127999,62668
Oppo,OPPO K10 5G,8,128,Good,52,2,14999,4679
OnePlus,OnePlus Nord N30 SE 5G,4,128,Like New,93,1,13999,10545
Redmi,Xiaomi 14 Civi,8,256,Fair,52,2,42999,10732
OnePlus,OnePlus 12R,8,128,Good,53,3,39999,11129
Oppo,OPPO A17,4,64,Like New,94,3,9999,5921
Motorola,Motorola G14,4,128,Fair,79,1,8499,3625
Realme,Realme Narzo N65 5G,4,128,Good,72,3,11499,4346
Redmi,POCO X6 5G,8,256,Fair,65,3,21999,6005
Motorola,Motorola G13,4,64,Poor,68,1,7999,2202
Realme,Realme 10,8,128,Poor,59,1,12999,3106
Vivo,Vivo Y18e,4,64,Like New,81,1,7999,5248
Infinix,Zero 5G 2023,8,128,Like New,61,3,14999,5764
iQOO,iQOO 12 5G,12,256,Poor,54,4,52999,7727
Oppo,OPPO A77s,6,128,Fair,53,1,12499,3577
Vivo,Vivo V30 5G,8,128,Poor,67,2,33999,8200
Redmi,POCO M6 5G,4,128,Good,70,4,9499,2992
Apple,iPhone 14 Pro Max (1TB),6,1024,Like New,100,3,169900,107037
Samsung,Galaxy S24,8,256,Good,95,1,79999,51299
Redmi,Redmi A3,3,64,Good,87,3,6999,3196
Realme,Realme 3i,4,64,Like New,53,1,12000,5151
Apple,iPhone 15 Pro (512GB),8,512,Fair,96,2,149900,69073
Apple,iPhone 14,6,128,Good,56,2,69999,23519
Vivo,Vivo V30 Pro 5G,8,256,Fair,97,3,41999,17110
Apple,iPhone 15 Pro (512GB),8,512,Poor,97,3,149900,45801
Samsung,Galaxy S24 Ultra,12,256,Fair,68,3,129999,37127
Realme,Realme 11 5G,8,128,Good,86,4,14999,5804
Vivo,Vivo Y200e 5G,6,128,Like New,78,1,17999,11371
Apple,iPhone 13,4,128,Fair,76,4,59900,16388
iQOO,iQOO Z7 Pro 5G,8,128,Like New,87,2,23999,15032
Samsung,Galaxy M13,4,64,Like New,91,4,9499,4667
Realme,Realme Narzo 10,4,128,Poor,85,1,9999,3442
Samsung,Galaxy A04,4,64,Good,58,1,7499,2935
Infinix,Zero 5G,8,128,Like New,78,1,13499,8528
Motorola,Motorola Edge 40,8,128,Poor,66,4,26999,4811
iQOO,iQOO Neo 9 Pro,8,128,Fair,92,1,35999,17884
Samsung,Galaxy A14 5G,6,128,Poor,57,3,13499,2423
Apple,iPhone 15 Plus,6,128,Poor,73,3,89900,20672
Infinix,Zero 5G 2023,8,128,Like New,79,2,14999,8531
Samsung,Galaxy A14 5G,6,128,Fair,62,4,13499,3012
Redmi,Xiaomi 14 Civi,8,256,Good,97,4,42999,18769
Realme,Realme C33,4,64,Good,100,1,8499,5736
Oppo,OPPO A79 5G,8,128,Like New,56,3,17999,6350
iQOO,iQOO 12 5G,12,256,Poor,93,1,52999,19962
Samsung,Galaxy Z Flip 5,8,256,Fair,69,1,89999,33533
Vivo,Vivo X100 Pro 5G,16,512,Fair,94,4,89999,30455
Samsung,Galaxy M55 5G,8,128,Good,90,4,26999,10934
Redmi,POCO X5 Pro 5G,6,128,Good,61,3,20999,6724
Vivo,Vivo Y200 5G,8,128,Poor,84,4,21999,4989
Motorola,Motorola G14,4,128,Fair,57,1,8499,2615
Infinix,Hot 30i,4,128,Like New,57,2,8499,3487
Apple,iPhone 12,4,64,Good,59,4,49999,13274
Vivo,Vivo X100 Pro 5G,16,512,Fair,90,3,89999,34019
Samsung,Galaxy A15 5G,6,128,Poor,57,4,14499,2231
Motorola,Motorola G24 Power,4,128,Poor,99,1,8999,3608
OnePlus,OnePlus 11R 5G,8,128,Good,88,4,37999,15047
Apple,iPhone 15 Plus,6,128,Good,66,4,89900,26700
Realme,Realme Narzo N53,6,128,Like New,74,2,10999,5860
OnePlus,OnePlus Nord 3 5G,8,128,Like New,91,3,30999,17771
Vivo,Vivo Y16,3,64,Fair,98,3,8999,3703
OnePlus,OnePlus Nord CE 3 5G,8,128,Fair,53,1,26999,7727
Redmi,POCO M6 5G,4,128,Like New,73,1,9499,5616
Realme,Realme Narzo 50i Prime,3,32,Fair,52,2,7499,1871
Oppo,OPPO F21 Pro 5G,8,128,Poor,79,2,24999,7109
Motorola,Motorola E13,2,64,Fair,92,2,6499,2869
Apple,iPhone 14,6,128,Like New,51,1,69999,28916
Apple,iPhone 12,4,64,Fair,85,1,49999,22949
Vivo,Vivo X100 Pro 5G,16,512,Like New,69,1,89999,50300
Infinix,Hot 20 5G,4,64,Poor,71,3,11499,2571
Redmi,POCO X6 5G,8,256,Like New,97,1,21999,17284
Motorola,Motorola G32,4,64,Fair,55,1,9999,2969
Oppo,OPPO A59 5G,4,128,Like New,72,3,12999,5896
OnePlus,OnePlus Nord 3 5G,8,128,Like New,97,3,30999,18943
Apple,iPhone 15 Pro,8,128,Like New,57,2,134900,55362
Vivo,Vivo Y27 5G,6,128,Like New,70,4,12999,4913
Infinix,Zero 30 (4G),8,256,Fair,54,3,13999,3174
Motorola,Motorola G24,4,128,Like New,73,4,8499,3350
Vivo,Vivo Y200 5G,8,128,Fair,56,1,21999,6652
iQOO,iQOO Z7 Pro 5G,8,128,Like New,76,2,23999,13132
Apple,iPhone 13 Mini,4,128,Poor,90,2,52999,17171
Samsung,Galaxy S24,8,256,Fair,73,2,79999,28031
iQOO,iQOO Z7 5G,6,128,Good,65,1,14999,6580
Vivo,Vivo T3 5G,8,128,Poor,63,4,17999,3061
Realme,Realme 10,8,128,Like New,93,3,12999,7616
Oppo,OPPO Reno 10 5G,8,256,Fair,95,4,32999,11285
Motorola,Motorola G73 5G,8,128,Like New,60,2,16999,7343
Motorola,Motorola Edge 30 Ultra,12,256,Good,81,2,49999,24299
Motorola,Motorola G64 5G,6,128,Like New,60,3,13999,5291
Vivo,Vivo Y16,3,64,Poor,54,3,8999,1530
Motorola,Motorola E14 (expected),4,64,Fair,86,1,7999,3714
Apple,iPhone 15,6,128,Poor,80,1,79900,25887
Vivo,Vivo V29 5G,8,128,Good,71,1,31999,15335
Oppo,OPPO Reno 10 Pro 5G,12,256,Poor,51,2,39999,7343
Realme,Realme Narzo 50i Prime,3,32,Good,63,3,7499,2480
Infinix,Note 12 Pro 5G,8,128,Fair,78,1,15999,6738
iQOO,iQOO Z7 5G,6,128,Poor,99,2,14999,5345
Realme,Realme C53,6,128,Like New,81,3,10999,5612
Motorola,Motorola G54 5G,8,128,Poor,62,2,12999,2901
OnePlus,OnePlus Nord CE 3 5G,8,128,Like New,96,2,26999,18661
Oppo,OPPO F21 Pro 5G,8,128,Fair,74,2,24999,8879
Motorola,Motorola E13,2,64,Poor,58,1,6499,1526
OnePlus,OnePlus 12,12,256,Like New,65,3,64999,26617
iQOO,iQOO 12 5G,12,256,Poor,78,3,52999,13021
Realme,Realme 11x 5G,6,128,Good,62,4,12999,3626
Oppo,OPPO A77s,6,128,Good,96,1,12499,8099
Apple,iPhone 15 Pro Max (1TB),8,1024,Good,55,4,199900,49475
Vivo,Vivo Y200 5G,8,128,Good,52,4,21999,5147
Infinix,Zero 30 (4G),8,256,Poor,71,4,13999,2683
Realme,Realme Narzo 50i Prime,3,32,Good,54,2,7499,2429
Apple,iPhone 15 Pro Max (1TB),8,1024,Poor,69,1,199900,55862
iQOO,iQOO Z9 5G,8,128,Like New,94,1,19999,15227
OnePlus,OnePlus Open (Foldable),16,512,Good,50,3,139999,36749
Apple,iPhone 11,4,64,Poor,53,3,39999,6677
Redmi,Redmi A3,3,64,Like New,57,2,6999,2872
iQOO,iQOO Neo 9 Pro,8,128,Like New,53,1,35999,15454
Vivo,Vivo Y200 5G,8,128,Fair,64,3,21999,5913
Infinix,Zero X Pro,8,128,Good,72,2,21999,9503
Realme,Realme 11 5G,8,128,Like New,83,1,14999,10083
Vivo,Vivo Y200e 5G,6,128,Good,95,3,17999,8977
Apple,iPhone 11,4,64,Poor,98,2,39999,14111
Vivo,Vivo Y200 5G,8,128,Good,56,4,21999,5543
Redmi,Redmi A3,3,64,Like New,88,4,6999,3325
Vivo,Vivo Y200e 5G,6,128,Like New,83,1,17999,12100
Apple,iPhone 13 (256GB),4,256,Poor,79,1,69900,22364
OnePlus,OnePlus 11R 5G,8,128,Poor,77,3,37999,9216
Infinix,Note 12 Pro 5G,8,128,Good,96,1,15999,10367
OnePlus,OnePlus 12,12,256,Fair,90,1,64999,31589
Apple,iPhone 15 Pro Max,8,256,Good,50,4,159900,35977
OnePlus,OnePlus Nord CE 4 5G,8,128,Good,94,2,24999,14099
Realme,Realme Narzo 60 Pro 5G,12,256,Like New,79,2,23999,13650
Infinix,Zero 30 5G,8,128,Good,75,4,17999,6074
Infinix,Note 12 Pro 5G,8,128,Good,88,2,15999,8447
Oppo,OPPO Reno 11 5G,8,128,Good,54,2,27999,9071
Samsung,Galaxy A23 5G,6,128,Like New,81,2,18999,11080
Motorola,Motorola G62 5G,6,128,Fair,56,1,11999,3628
Infinix,Smart 7,4,64,Good,59,2,7299,2583
Motorola,Motorola Edge 40 Neo,8,128,Fair,74,2,20999,7458
Samsung,Galaxy M14 5G,6,128,Like New,98,1,12499,9921
Oppo,OPPO A17,4,64,Poor,57,2,9999,2051
Apple,iPhone 15,6,128,Good,56,2,79900,26846
Realme,Realme C53,6,128,Like New,99,3,10999,6860
Samsung,Galaxy S24+,12,256,Fair,86,1,99999,46439
Motorola,Motorola Razr 40 Ultra,8,256,Fair,53,3,79999,17807
Motorola,Motorola Razr 40,8,256,Good,53,1,59999,21464
Motorola,Motorola E14 (expected),4,64,Like New,52,2,7999,2994
Realme,Realme Narzo N65 5G,4,128,Good,58,2,11499,4001
Apple,iPhone 12 Mini,4,64,Like New,51,4,42999,11841
Oppo,OPPO A59 5G,4,128,Poor,98,2,12999,4586
Redmi,Xiaomi 14 Civi,8,256,Poor,59,3,42999,7991
iQOO,iQOO Z9 5G,8,128,Like New,57,3,19999,7181
Vivo,Vivo Y16,3,64,Poor,72,2,8999,2332
OnePlus,OnePlus 11 5G,8,128,Like New,73,4,56999,22469
Samsung,Galaxy Z Flip 5,8,256,Poor,87,2,89999,28187
Redmi,POCO X6 5G,8,256,Poor,57,3,21999,3949
Vivo,Vivo X100 5G,12,256,Fair,63,2,63999,19353
Redmi,POCO M6 Pro 5G,4,128,Poor,70,4,10999,2078
Oppo,OPPO A77s,6,128,Like New,87,4,12499,5872
iQOO,iQOO 12 5G,12,256,Good,57,3,52999,15859
Vivo,Vivo Y18e,4,64,Good,52,3,7999,2183
Apple,iPhone 14 Pro Max,6,256,Like New,79,2,127999,72805
Motorola,Motorola G62 5G,6,128,Like New,88,1,11999,8552
Redmi,POCO X6 Pro 5G,8,256,Poor,58,3,26999,4932
Vivo,Vivo Y27 5G,6,128,Good,60,4,12999,3509
Infinix,Smart 8 Plus,4,128,Like New,86,1,7999,5572
Apple,iPhone 11,4,64,Fair,89,3,39999,14951
Redmi,Redmi Note 13 4G,6,128,Poor,64,4,14499,2505
Oppo,OPPO A79 5G,8,128,Poor,52,4,17999,2527
Realme,Realme Narzo 20,4,64,Good,77,2,10499,4850
Oppo,OPPO A79 5G,8,128,Fair,82,3,17999,6198
Infinix,Smart 8 Plus,4,128,Good,92,4,7999,3311
Realme,Realme C55,6,64,Good,73,4,9999,3284
Realme,Realme C51,4,64,Good,84,1,7999,4535
Redmi,Redmi 12 5G,4,128,Poor,87,1,11999,4227
Oppo,OPPO A78 5G,8,128,Good,50,2,14999,4499
Samsung,Galaxy M14 5G,6,128,Poor,63,2,12499,2834
Oppo,OPPO A59 5G,4,128,Like New,80,3,12999,6551
Samsung,Galaxy A55 5G,8,256,Poor,95,1,39999,15389
OnePlus,OnePlus 12,12,256,Like New,61,3,64999,24979
Oppo,OPPO A77s,6,128,Like New,94,3,12499,7401
Oppo,OPPO F25 Pro 5G,8,128,Good,50,1,23999,8099
Oppo,OPPO Reno 11 Pro 5G,12,256,Like New,82,3,39999,20663
OnePlus,OnePlus 12R,8,128,Good,73,2,39999,17519
Apple,iPhone 13,4,128,Fair,59,4,59900,12722
Motorola,Motorola Razr 40 Ultra,8,256,Fair,98,3,79999,32927
Infinix,Smart 8,4,64,Fair,72,3,6999,2116
Motorola,Motorola Edge 50 Pro,8,256,Like New,53,2,31999,12210
Infinix,Hot 30,4,64,Good,71,1,9499,4552
Infinix,Note 12 Pro 5G,8,128,Poor,98,1,15999,6350
Oppo,OPPO Reno 10 Pro+ 5G,12,256,Fair,86,2,54999,22703
Vivo,Vivo Y17s,4,128,Good,84,2,10499,5291
Samsung,Galaxy S24+,12,256,Good,82,4,99999,36899
Realme,Realme Narzo 50A Prime,4,64,Poor,88,1,8999,3207
OnePlus,OnePlus 11R 5G,8,128,Like New,55,2,37999,15047
Infinix,Note 12 Pro 5G,8,128,Like New,61,4,15999,5270
Redmi,Xiaomi 14 Civi,8,256,Like New,85,3,42999,23025
Realme,Realme 10,8,128,Poor,81,2,12999,3790
Samsung,Galaxy A14 5G,6,128,Fair,90,1,13499,6560
Oppo,OPPO Find N3 Flip,12,256,Fair,64,2,94999,29183
Apple,iPhone 15 Pro Max (1TB),8,1024,Fair,89,1,199900,96071
Samsung,Galaxy F14 5G,4,128,Good,57,3,10999,3291
Vivo,Vivo V30 5G,8,128,Fair,91,3,33999,12994
Apple,iPhone 14 Pro Max,6,256,Fair,84,4,127999,38706
Redmi,Redmi 13C 5G,4,128,Good,72,4,9999,3239
Oppo,OPPO A77s,6,128,Good,59,3,12499,3871
Samsung,Galaxy M14 5G,6,128,Poor,64,2,12499,2879
Apple,iPhone 14 (256GB),6,256,Poor,98,2,79999,28223
Apple,iPhone 12 (128GB),4,128,Poor,96,3,54999,16631
Realme,Realme 10,8,128,Good,89,4,12999,5206
Motorola,Motorola G64 5G,6,128,Like New,91,1,13999,10318
Realme,Realme Narzo 10,4,128,Good,73,1,9999,4927
Realme,Realme 11 5G,8,128,Poor,85,4,14999,3442
Redmi,POCO M6 5G,4,128,Good,52,1,9499,3334
Apple,iPhone 12 (128GB),4,128,Poor,57,1,54999,12696
Oppo,OPPO A18,4,64,Poor,62,3,8999,1757
Oppo,OPPO Find N3 Flip,12,256,Like New,93,2,94999,63611
Oppo,OPPO A79 5G,8,128,Fair,87,4,17999,5637
Apple,iPhone 13,4,128,Like New,60,3,59900,22642
Oppo,OPPO Reno 10 Pro 5G,12,256,Like New,100,4,39999,21599
OnePlus,OnePlus Nord CE 4 5G,8,128,Like New,58,1,24999,11744
Vivo,Vivo Y16,3,64,Poor,79,2,8999,2559
Samsung,Galaxy A04,4,64,Poor,57,1,7499,1731
Vivo,Vivo X100 5G,12,256,Poor,77,2,63999,17740
Samsung,Galaxy A15 5G,6,128,Poor,57,1,14499,3347
Apple,iPhone 13 (256GB),4,256,Like New,82,3,69900,36110
Redmi,Redmi 13C 5G,4,128,Fair,79,2,9999,3791
Motorola,Motorola G24,4,128,Poor,77,4,8499,1766
Samsung,Galaxy A23 5G,6,128,Poor,95,2,18999,6497
OnePlus,OnePlus 12,12,256,Poor,74,4,64999,12986
Vivo,Vivo V29 5G,8,128,Like New,74,1,31999,19180
Vivo,Vivo Y18e,4,64,Like New,53,3,7999,2670
iQOO,iQOO Neo 9 Pro,8,128,Like New,83,1,35999,24202
Realme,Realme Narzo 50,6,128,Poor,60,4,11999,1943
OnePlus,OnePlus 12R,8,128,Good,92,4,39999,16559
Oppo,OPPO A77s,6,128,Good,64,2,12499,4799
Realme,Realme Narzo 50i Prime,3,32,Poor,62,3,7499,1464
Realme,Realme C51,4,64,Good,54,2,7999,2591
Realme,Realme Narzo N65 5G,4,128,Fair,69,4,11499,2856
Infinix,Zero 30 (4G),8,256,Good,92,3,13999,6761
OnePlus,OnePlus Nord CE 3 5G,8,128,Fair,74,4,26999,7192
Infinix,Zero 30 5G,8,128,Poor,70,1,17999,5102
Apple,iPhone 14,6,128,Fair,100,3,69999,29399
Vivo,Vivo Y16,3,64,Like New,98,2,8999,6349
Apple,iPhone 13 (256GB),4,256,Like New,98,1,69900,55486
iQOO,iQOO Z7 5G,6,128,Poor,51,2,14999,2753
Infinix,Smart 7,4,64,Good,68,3,7299,2605
iQOO,iQOO Z9 5G,8,128,Poor,68,3,19999,4283
Samsung,Galaxy S24+,12,256,Good,58,1,99999,39149
Oppo,OPPO A17,4,64,Poor,87,3,9999,2740
Realme,Realme C55,6,64,Fair,87,4,9999,3131
Oppo,OPPO Reno 11 Pro 5G,12,256,Poor,86,1,39999,13931
Apple,iPhone 12 (128GB),4,128,Like New,60,4,54999,17819
Samsung,Galaxy S24,8,256,Poor,64,2,79999,18431
Apple,iPhone 12 (128GB),4,128,Like New,53,1,54999,23611
Realme,Realme C51,4,64,Poor,87,1,7999,2818
OnePlus,OnePlus 12,12,256,Poor,94,4,64999,16496
Redmi,Redmi 12 5G,4,128,Good,80,2,11999,5759
Infinix,Note 11S,6,128,Poor,100,2,10999,3959
Vivo,Vivo Y200e 5G,6,128,Good,60,1,17999,7289
iQOO,iQOO 12 5G,12,256,Like New,98,4,52999,28047
Oppo,OPPO A17,4,64,Good,70,1,9999,4724
Apple,iPhone 12 Mini,4,64,Poor,70,2,42999,10835
Redmi,Xiaomi 14,12,256,Good,79,3,69999,29032
Apple,iPhone 14 Pro Max (1TB),6,1024,Like New,92,3,169900,98474
OnePlus,OnePlus 10R 5G,8,128,Good,51,3,32999,8835
Infinix,Smart 8,4,64,Like New,99,1,6999,5612
Motorola,Motorola G64 5G,6,128,Good,90,1,13999,8504
Realme,Realme Narzo 50i Prime,3,32,Poor,94,2,7499,2537
OnePlus,OnePlus Nord N30 SE 5G,4,128,Like New,56,2,13999,5644
Redmi,Redmi 13C 5G,4,128,Good,94,2,9999,5639
Apple,iPhone 13 Mini,4,128,Good,87,4,52999,20749
Oppo,OPPO A17,4,64,Fair,72,1,9999,3887
Infinix,Zero 30 (4G),8,256,Poor,100,4,13999,3779
Apple,iPhone 13,4,128,Like New,79,2,59900,34071
Infinix,Hot 30,4,64,Poor,81,3,9499,2423
iQOO,iQOO 12 5G,12,256,Like New,85,2,52999,32435
Redmi,POCO X6 5G,8,256,Like New,75,4,21999,8909
iQOO,iQOO Z9x 5G,4,128,Fair,97,3,12999,5295
Motorola,Motorola Edge 50 Pro,8,256,Good,50,4,31999,7199
Redmi,Redmi Note 13 Pro 5G,8,128,Fair,68,4,25999,6364
Redmi,Xiaomi 14,12,256,Like New,77,3,69999,33956
Oppo,OPPO A78 5G,8,128,Poor,53,2,14999,2861
Vivo,Vivo X100 5G,12,256,Like New,82,4,63999,28338
Apple,iPhone 14 Pro Max (1TB),6,1024,Like New,64,2,169900,78289
OnePlus,OnePlus 12R,8,128,Like New,74,4,39999,15983
Samsung,Galaxy A04,4,64,Poor,69,4,7499,1397
Samsung,Galaxy Z Flip 5,8,256,Poor,80,2,89999,25919
Realme,Realme Narzo 20,4,64,Fair,70,3,10499,3086
iQOO,iQOO Z7 5G,6,128,Like New,74,2,14999,7991
OnePlus,OnePlus 12R,8,128,Like New,52,4,39999,11231
Vivo,Vivo Y27 5G,6,128,Fair,59,1,12999,4141
Samsung,Galaxy S24,8,256,Good,56,2,79999,26879
Realme,Realme 10,8,128,Fair,74,2,12999,4617
Samsung,Galaxy Z Flip 5,8,256,Poor,100,2,89999,32399
Oppo,OPPO F21 Pro 5G,8,128,Like New,82,2,24999,14759
Redmi,POCO C65,4,128,Fair,85,4,7499,2294
Apple,iPhone 12 (128GB),4,128,Good,92,1,54999,34154
Oppo,OPPO A18,4,64,Like New,99,2,8999,6414
Motorola,Motorola G32,4,64,Fair,58,2,9999,2783
Infinix,Smart 8 HD,2,64,Good,97,2,5999,3491
Redmi,Redmi A3,3,64,Like New,89,2,6999,4484
Infinix,Hot 20 5G,4,64,Poor,73,1,11499,3399
Samsung,Galaxy S24,8,256,Like New,58,3,79999,29231
Redmi,POCO C65,4,128,Good,68,1,7499,3442
Redmi,Xiaomi 14 Ultra,12,512,Like New,88,2,99999,63359
Redmi,POCO X5 Pro 5G,6,128,Good,98,1,20999,13890
Motorola,Motorola G85 5G,8,128,Poor,78,1,17999,5685
Samsung,Galaxy A14 5G,6,128,Poor,66,1,13499,3608
Motorola,Motorola Edge 40 Neo,8,128,Good,52,1,20999,7370
Infinix,Zero 5G 2023,8,128,Good,79,3,14999,6220
Motorola,Motorola G73 5G,8,128,Poor,87,2,16999,5324
Oppo,OPPO Reno 10 5G,8,256,Fair,55,3,32999,7622
Realme,Realme Narzo 30,6,64,Fair,90,4,10999,3563
Redmi,Redmi 13C,4,128,Like New,99,3,8499,5300
Vivo,Vivo X100 Pro 5G,16,512,Fair,78,2,89999,33695
Motorola,Motorola Razr 40 Ultra,8,256,Fair,50,2,79999,19199
Infinix,Zero X Pro,8,128,Poor,92,4,21999,5464
Samsung,Galaxy M13,4,64,Poor,72,1,9499,2769
Apple,iPhone 11,4,64,Good,53,2,39999,12719
Vivo,Vivo Y16,3,64,Fair,57,2,8999,2462
Realme,Realme Narzo 20,4,64,Good,67,3,10499,3693
OnePlus,OnePlus Nord CE 3 5G,8,128,Good,97,2,26999,15713
Redmi,POCO X6 5G,8,256,Poor,56,3,21999,3880
iQOO,iQOO Z7 5G,6,128,Like New,87,2,14999,9395
iQOO,iQOO Z9 5G,8,128,Like New,53,1,19999,8585
Oppo,OPPO A78 5G,8,128,Good,80,2,14999,7199
Samsung,Galaxy A55 5G,8,256,Like New,56,2,39999,16127
OnePlus,OnePlus 11 5G,8,128,Good,83,4,56999,21289
OnePlus,OnePlus 12R,8,128,Good,60,1,39999,16199
Vivo,Vivo Y18e,4,64,Good,65,2,7999,3119
Oppo,OPPO Reno 10 Pro 5G,12,256,Poor,76,4,39999,8207
Infinix,Note 40 Pro 5G,8,256,Poor,82,2,21999,6494
Infinix,Zero 5G 2023,8,128,Good,75,1,14999,7593
Vivo,Vivo Y18e,4,64,Fair,85,3,7999,2855
Realme,Realme Narzo 50i Prime,3,32,Fair,100,2,7499,3599
Vivo,Vivo Y28 5G,4,128,Good,98,1,13999,9260
iQOO,iQOO Z9 5G,8,128,Poor,64,3,19999,4031
Apple,"iPhone SE (3rd Gen, 2022)",4,64,Like New,50,2,39900,14364
Apple,iPhone 12 Mini,4,64,Good,85,1,42999,24670
Apple,iPhone 14 Plus,6,128,Fair,60,4,74999,16199
Vivo,Vivo Y200e 5G,6,128,Good,59,2,17999,6371
Oppo,OPPO Reno 10 Pro+ 5G,12,256,Fair,75,1,54999,22274
iQOO,iQOO Neo 9 Pro,8,128,Poor,98,3,35999,11112
iQOO,iQOO 12 5G,12,256,Good,68,2,52999,21623
Infinix,Zero 5G 2023,8,128,Like New,97,4,14999,7856
iQOO,iQOO Z7 Pro 5G,8,128,Good,96,3,23999,12095
Samsung,Galaxy A15 5G,6,128,Poor,62,3,14499,2831
Vivo,Vivo Y27 5G,6,128,Fair,75,2,12999,4679
Infinix,Smart 8,4,64,Poor,79,4,6999,1492
Motorola,Motorola E14 (expected),4,64,Good,76,1,7999,4103
Redmi,POCO X6 Pro 5G,8,256,Fair,94,1,26999,13704
Redmi,Xiaomi 14 Civi,8,256,Good,87,4,42999,16834
Vivo,Vivo V30 Pro 5G,8,256,Fair,68,4,41999,10281
Vivo,Vivo V30 Pro 5G,8,256,Poor,56,1,41999,9525
Samsung,Galaxy A14 5G,6,128,Good,75,2,13499,6074
Vivo,Vivo X100 5G,12,256,Like New,50,1,63999,25919
Realme,Realme 11 5G,8,128,Poor,67,4,14999,2713
Oppo,OPPO A59 5G,4,128,Poor,79,2,12999,3696
Infinix,GT 20 Pro,8,256,Like New,87,3,24999,13701
Samsung,Galaxy A04,4,64,Like New,100,2,7499,5399
Infinix,Zero Ultra,8,256,Fair,87,3,29999,10961
OnePlus,OnePlus Nord CE 4 5G,8,128,Good,78,3,24999,10237
OnePlus,OnePlus Nord N30 SE 5G,4,128,Good,93,1,13999,8787
Apple,iPhone 15 Pro (512GB),8,512,Fair,71,1,149900,57471
Infinix,Zero X Pro,8,128,Like New,63,2,21999,9978
Vivo,Vivo Y17s,4,128,Good,71,3,10499,3913
Vivo,Vivo Y200 5G,8,128,Good,58,1,21999,8612
OnePlus,OnePlus Nord 3 5G,8,128,Fair,86,4,30999,9597
Apple,iPhone 14 Plus,6,128,Good,50,3,74999,19687
Vivo,Vivo Y16,3,64,Fair,59,4,8999,1911
Motorola,Motorola G64 5G,6,128,Good,90,4,13999,5669
Vivo,Vivo T3 5G,8,128,Poor,73,4,17999,3547
